price,price_per_sqfoot,bedrooms,bathrooms,square-foot
15000,9.057971014,4,1,1656
6900,1.725,5,4,4000
1300,1.181818182,3,1,1100
3850,1.54,4,3,2500
10000,1.893580761,5,4,5281
3700,1.681818182,4,3,2200
4200,1.631701632,4,3,2574
2075,2.184210526,1,1,950
3000,1.666666667,4,2,1800
2400,1.6,4,2,1500
7000,1.75,5,3,4000
1150,1.095238095,3,1,1050
2500,2.272727273,2,2,1100
6000,3.908794788,1,2,1535
1800,2.88,0,1,625
1100,1.1,3,1,1000
3000,2.19941349,3,2,1364
1200,0.612244898,3,3,1960
19950,8.3125,3,2,2400
8700,1.60014714,5,5,5437
1250,0.874125874,1,1,1430
2050,0.818363273,3,2,2505
1800,0.755033557,3,1,2384
2450,1.689655172,2,2,1450
1500,2.463054187,1,1,609
25000,7.725587145,5,4,3236
2200,2.057998129,1,1,1069
3500,1.859723698,2,2,1882
2000,1.672240803,2,2,1196
6500,2.409191994,4,3,2698
1250,1.041666667,4,1,1200
1150,1.095238095,3,1,1050
2500,1.415628539,2,2,1766
950,1.055555556,2,1,900
2950,1.331227437,3,3,2216
1750,1.75,2,1,1000
1850,2.466666667,1,1,750
950,1.055555556,2,1,900
2700,2.008928571,2,2,1344
2350,2.2971652,1,1,1023
3000,2.087682672,2,2,1437
2100,1.178451178,2,1,1782
1600,5.063291139,1,1,316
2400,1.6,3,2,1500
1275,1.643041237,1,1,776
1100,1.047619048,3,1,1050
2350,1.958333333,2,1,1200
2500,1.793400287,2,2,1394
9000,2.424568966,5,4,3712
1875,1.687668767,2,2,1111
1150,0.884615385,3,1,1300
1600,3.703703704,0,1,432
1250,0.70861678,3,2,1764
2290,1.908333333,3,1,1200
1700,0.669291339,4,2,2540
1350,0.724248927,3,2,1864
35000,11.83231913,5,3,2958
2275,3.316326531,1,1,686
11500,2.150336574,3,3,5348
1783,5.642405063,0,1,316
1000,1.428571429,1,1,700
2500,2.250225023,2,2,1111
15000,2.914319021,4,5,5147
1850,1.41221374,2,1,1310
4900,1.944444444,4,2,2520
1795,1.282142857,3,2,1400
2295,0.646478873,4,3,3550
3000,2.700270027,2,2,1111
3200,3.13111546,2,2,1022
2200,3.25443787,1,1,676
3000,1.071428571,4,3,2800
2500,2.250225023,2,2,1111
1950,1.695652174,2,1,1150
2600,1.00308642,4,3,2592
1950,1.800554017,2,1,1083
2200,4.573804574,0,1,481
1550,2.279411765,0,1,680
1750,3.027681661,0,1,578
3800,3.598484848,2,2,1056
1300,0.534100247,3,1,2434
3500,3.314393939,2,2,1056
8900,1.251054259,6,7,7114
5000,4.734848485,2,2,1056
2250,1.604850214,2,2,1402
1800,2.057142857,3,1,875
3000,1.909611712,3,2,1571
1400,1.52173913,2,1,920
2350,1.807692308,3,2,1300
2950,1.966666667,3,2,1500
